Frequent Process Restarts Log - 2024-12-27 19:29:00
============================================================
[2024-12-27 19:29:16] Frequent Restarts Detected - PID: 11336, Name: bash.exe, Restarts: 4
[2024-12-27 19:29:16] Frequent Restarts Detected - PID: 18932, Name: svchost.exe, Restarts: 4
[2024-12-27 19:29:16] Frequent Restarts Detected - PID: 26056, Name: smartscreen.exe, Restarts: 4
[2024-12-27 19:29:16] Frequent Restarts Detected - PID: 29960, Name: python3.13.exe, Restarts: 4
[2024-12-27 19:29:16] Frequent Restarts Detected - PID: 32608, Name: mintty.exe, Restarts: 4
[2024-12-27 19:29:16] Frequent Restarts Detected - PID: 33444, Name: conhost.exe, Restarts: 4
[2024-12-27 19:29:16] Frequent Restarts Detected - PID: 34104, Name: git-bash.exe, Restarts: 4
[2024-12-27 19:29:16] Frequent Restarts Detected - PID: 34632, Name: bash.exe, Restarts: 4
[2024-12-27 19:29:21] Frequent Restarts Detected - PID: 11336, Name: bash.exe, Restarts: 5
[2024-12-27 19:29:21] Frequent Restarts Detected - PID: 18932, Name: svchost.exe, Restarts: 5
[2024-12-27 19:29:21] Frequent Restarts Detected - PID: 26056, Name: smartscreen.exe, Restarts: 5
[2024-12-27 19:29:21] Frequent Restarts Detected - PID: 29960, Name: python3.13.exe, Restarts: 5
[2024-12-27 19:29:21] Frequent Restarts Detected - PID: 32608, Name: mintty.exe, Restarts: 5
[2024-12-27 19:29:21] Frequent Restarts Detected - PID: 33444, Name: conhost.exe, Restarts: 5
[2024-12-27 19:29:21] Frequent Restarts Detected - PID: 34104, Name: git-bash.exe, Restarts: 5
[2024-12-27 19:29:21] Frequent Restarts Detected - PID: 34632, Name: bash.exe, Restarts: 5
[2024-12-27 19:29:26] Frequent Restarts Detected - PID: 11336, Name: bash.exe, Restarts: 6
[2024-12-27 19:29:26] Frequent Restarts Detected - PID: 18932, Name: svchost.exe, Restarts: 6
[2024-12-27 19:29:26] Frequent Restarts Detected - PID: 26056, Name: smartscreen.exe, Restarts: 6
[2024-12-27 19:29:26] Frequent Restarts Detected - PID: 29960, Name: python3.13.exe, Restarts: 6
[2024-12-27 19:29:26] Frequent Restarts Detected - PID: 32608, Name: mintty.exe, Restarts: 6
[2024-12-27 19:29:26] Frequent Restarts Detected - PID: 33444, Name: conhost.exe, Restarts: 6
[2024-12-27 19:29:26] Frequent Restarts Detected - PID: 34104, Name: git-bash.exe, Restarts: 6
[2024-12-27 19:29:26] Frequent Restarts Detected - PID: 34632, Name: bash.exe, Restarts: 6
[2024-12-27 19:29:31] Frequent Restarts Detected - PID: 11336, Name: bash.exe, Restarts: 7
[2024-12-27 19:29:31] Frequent Restarts Detected - PID: 29960, Name: python3.13.exe, Restarts: 7
[2024-12-27 19:29:36] Frequent Restarts Detected - PID: 11336, Name: bash.exe, Restarts: 8
[2024-12-27 19:29:36] Frequent Restarts Detected - PID: 29960, Name: python3.13.exe, Restarts: 8
[2024-12-27 19:29:41] Frequent Restarts Detected - PID: 11336, Name: bash.exe, Restarts: 9
[2024-12-27 19:29:41] Frequent Restarts Detected - PID: 29960, Name: python3.13.exe, Restarts: 9
[2024-12-27 19:29:46] Frequent Restarts Detected - PID: 11336, Name: bash.exe, Restarts: 10
[2024-12-27 19:29:46] Frequent Restarts Detected - PID: 29960, Name: python3.13.exe, Restarts: 10
[2024-12-27 19:29:46] Frequent Restarts Detected - PID: 30388, Name: WmiPrvSE.exe, Restarts: 4
[2024-12-27 19:29:46] Frequent Restarts Detected - PID: 34364, Name: svchost.exe, Restarts: 4
